,ID,Date,Location ID,Location Description,Region,Country,Latitude,Longitude,Area Type,Junction Control,Accident Severity,Time of Day,Road Conditions,Junction Detail,Driver Age,Sex of Driver,Vehicle Type,Vehicle Propulsion,Number of Accidents,Number of Casualties,Number of Vehicles,Accidental Costs
0,1,2017.Jan,UK01,Birmingham,West Midlands,United Kingdom,52.478609,-1.884923,Urban,Uncontrolled Junction,Slight,Afternoon,Wet Road,Not at junction,26-35,Male,Car,Petrol,1,1,2,2643.44
1,3,2017.Jan,UK03,Manchester,North West England,United Kingdom,53.481548,-2.245805,Small Town,Traffic Enforcer,Serious,Early Morning,Snow,Roundabout,Over 56,Female,Motorcycle,Hybrid Electric,1,11,2,1847.23
2,4,2017.Jan,UK04,Westminster,London,United Kingdom,51.497716,-0.135175,Rural,Stop Sign,Serious,Evening,Icy,Crossroad,Over 56,Female,Bus,Heavy Oil,1,1,2,2269.18
3,5,2017.Jan,UK05,Bradford,Yorkshire and the Humber,United Kingdom,53.795548,-1.758909,Small Town,Stop Sign,Serious,Evening,Icy,Roundabout,Over 56,Female,Motorcycle,Heavy Oil,1,1,2,1633.98
4,7,2017.Jan,UK01,Birmingham,West Midlands,United Kingdom,52.478609,-1.884923,Rural,Stop Sign,Serious,Evening,Icy,Crossroad,Over 56,Female,Bus,Heavy Oil,1,1,2,1716.33
5,8,2017.Jan,UK02,Leeds,Yorkshire and the Humber,United Kingdom,53.800676,-1.548242,Urban,Uncontrolled Junction,Slight,Afternoon,Dry Road,Not at junction,26-35,Male,Car,Petrol,1,1,2,1890.09
6,9,2017.Jan,UK03,Manchester,North West England,United Kingdom,53.481548,-2.245805,Urban,Traffic Light,Slight,Morning,Icy,T-junction,21-25,Female,Car,Heavy Oil,1,1,2,2287.34
7,11,2017.Jan,UK05,Bradford,Yorkshire and the Humber,United Kingdom,53.795548,-1.758909,Urban,Uncontrolled Junction,Slight,Afternoon,Dry Road,Not at junction,26-35,Male,Car,Petrol,1,1,1,3483.47
8,12,X,UK06,Liverpool,North West England,United Kingdom,53.408796,-2.985397,Rural,Stop Sign,Slight,Evening,Icy,Crossroad,16-20,Female,Van,Heavy Oil,1,1,2,3220.65
9,13,X,UK01,Birmingham,West Midlands,United Kingdom,52.478609,-1.884923,Urban,Uncontrolled Junction,Slight,Afternoon,Dry Road,Not at junction,26-35,Male,Car,Petrol,1,1,2,2585.76
